Year,Agency Name,Name of Donor (Individual or Firm),Type of Donation,Value of Donation
2020,Education (Department of),Title I NYS Integration Project Professional Learning Community (NYSIP PLC) Grant - District 30 ; NYSIP PLC 29       9,Money,"$130,000.00"
2020,Education (Department of),Title I NYS Integration Project Professional Learning Community (NYSIP PLC) Grant - District 31 ; NYSIP PLC 30       9,Money,"$130,000.00"
2020,Education (Department of),Title I School Improvement Grant 1003(a) FY20 ; SCHL IMPROVEMENT96 0,Money,"$36,450,000.00"
2020,Education (Department of),TNTP ; PS 359X - OTPS ; Fund for Public Schools ; FUNDS PUB SCHL 38  1,Money,"$16,826.00"
2020,Education (Department of),Trauma Informed Care ; FUNDS PUB SCHL 35  1,Money,"$3,236,444.00"
2020,Education (Department of),Troops to Teachers Grant ; MISC FED GRANT 17  1,Money,"$378,055.00"
2020,Education (Department of),Twentieth Century Fox ; PS 192M - OTPS ; Fund for Public Schools ; FUNDS PUB SCHL 34  1,Money,"$10,000.00"
2020,Education (Department of),Twentieth Century Fox ; PS 209M - Art ; Fund for Public Schools ; FUNDS PUB SCHL 353 0,Money,"$10,000.00"
2020,Education (Department of),UFT Edu Foundation ; UFTTC City Council Grant ; FOUNDATION GRNT 02 1,Money,"$680,000.00"
2020,Education (Department of),UnCommon Charter School ; 19K639 - Uncommon NYC Charter School Donation for shared spaces ; PRIVATE GRANT  34  0,Money,"$23,086.00"
2020,Education (Department of),Uncommon New York City Charter School ; PSAL and Shared Staff Members at 18K637 ; PRIVATE GRANT  31  0,Money,"$20,757.00"
2020,Education (Department of),United Way NY ; PS 369X ; Fund for Public Schools ; FUNDS PUB SCHL 87  0,Money,"$47,000.00"
2020,Education (Department of),United Way of NY ; PS 49X - per session ; Fund for Public Schools ; FUNDS PUB SCHL 91  0,Money,"$47,000.00"
2020,Education (Department of),University of Texas ; Uteach and NYC: A Design Research Partnership to Expand ; MISC FED GRANT 18  0,Money,"$115,470.00"
2020,Education (Department of),US Air Force ; JROTC Program - Air Force - 19K583 ; ROTC  11           1,Money,"$110,668.00"
2020,Education (Department of),US Air Force JROTC/NYC DOE ; Air Force JROTC Reimbursable Allocation for 31R460 ; ROTC  12           1,Money,"$139,603.69"
2020,Education (Department of),US Air Force/NYC DOE ; Air Force JROTC Reimbursable Allocation for New Dorp HS (31R440) ; ROTC  11           1,Money,"$135,301.98"
2020,Education (Department of),US ARMY JROTC/NYC DOE ; Army JROTC Reimbursable Allocation for 20K490 ; ROTC  10           1,Money,"$132,843.26"
2020,Education (Department of),US ARMY JROTC/NYC DOE ; Army JROTC Reimbursable Allocation for 31R445 ; ROTC  10           1,Money,"$132,085.97"
2020,Education (Department of),US Department of HHS/SAMHSA - Federal Pass Through ; SAMHSA Project Aware - D.16 ; MISC FED GRANT 33  1,Money,"$420,473.00"
2020,Education (Department of),US Dept of AG. ; CN Equipment Assistance Grant ; MISC FED GRANT 29  0,Money,"$400,000.00"
2020,Education (Department of),US Marines/NYCDOE ; Marine JROTC Reimbursable Allocation for 31R455 (Tottenville HS) ; ROTC  13           1,Money,"$138,871.87"
2020,Education (Department of),US Navy JROTC ; Navy JROTC Reimbursable Allocation for 02M393 ; ROTC  15           0,Money,"$57,633.63"
2020,Education (Department of),US NAVY JROTC/NYC DOE ; Navy JROTC Reimbursable Allocation for 31R450 ; ROTC  14           1,Money,"$70,886.82"
2020,Education (Department of),USDOE ; Connected Learning Communities: Supporting Teacher Effectiveness and Student Achievement in the Arts ; MISC FED GRANT 90  1,Money,"$373,353.00"
2020,Education (Department of),"USDOE ; CSD 11 Magnet School Assistance Program #U165A170020.Awards for 8X123,11X160,11X178,11X567 ; MAGNET SCH FED 03  1",Money,"$2,980,000.00"
2020,Education (Department of),USED ; Community School District 6 Magnet School Assistance Program #U165A170050 Year 4 ; MAGNET SCHOOLS-FED 1,Money,"$2,985,000.00"
2020,Education (Department of),USED ; D 28 magnet assistance grant ; MAGNET SCH FED 02  1,Money,"$2,950,000.00"
2020,Education (Department of),used ; D29 84.351C Future Arts Initiative U351C170009-20 ; MISC FED GRANT 91  1,Money,"$361,751.00"
2020,Education (Department of),"USED ; D30 Roots, Routes & Rhythms: Integrating Social studies, Community Resources and the Arts ; MISC FED GRANT 90  1",Money,"$300,000.00"
2020,Education (Department of),"USED ; Digital DELLTA Learning Communities for District 21 
 ; MISC FED GRANT 90  1",Money,"$201,307.00"
2020,Education (Department of),Uteach and NYC: A Design Research Partnership to Expand ; MISC FED GRANT 18  0,Money,"$115,470.00"
2020,Education (Department of),UWNY ; PS 179X - Literacy ; Fund for Public Schools ; FUNDS PUB SCHL 83  0,Money,"$47,000.00"
2020,Education (Department of),various ; COVID-19 Response Effort - Amazon ; Fund for Public Schools ; FUNDS PUB SCHL 00  1,Money,"$85,929.00"
2020,Education (Department of),various ; COVID-19 Response Effort ; Fund for Public Schools ; FUNDS PUB SCHL 53  1,Money,"$54,538.00"
2020,Education (Department of),various ; CS Lead ; Fund for Public Schools ; FUNDS PUB SCHL 04  1,Money,"$22,923.00"
2020,Education (Department of),various ; CS4ALL ; Fund for Public Schools ; FUNDS PUB SCHL 03  1,Money,"$684,957.00"
2020,Education (Department of),various ; Nursing program ; Fund for Public Schools ; FUNDS PUB SCHL 44  1,Money,"$10,000.00"
2020,Education (Department of),various ; NYC Mentoring program ; Fund for Public Schools ; FUNDS PUB SCHL 25  1,Money,"$162,964.00"
2020,Education (Department of),various ; PS 146M - OTPS ; Fund for Public Schools ; FUNDS PUB SCHL 66  1,Money,"$8,517.00"
2020,Education (Department of),various ; PS 146M ; Fund for Public Schools ; FUNDS PUB SCHL 88  0,Money,"$8,517.00"
2020,Education (Department of),various ; PS 20M - OTPS (1) ; Fund for Public Schools ; FUNDS PUB SCHL 83  1,Money,"$69,000.00"
2020,Education (Department of),various ; PS 52M - OTPS ; Fund for Public Schools ; FUNDS PUB SCHL 71  1,Money,"$9,350.00"
2020,Education (Department of),various ; Trauma Informed Care ; Fund for Public Schools ; FUNDS PUB SCHL 35  1,Money,"$200,000.00"
2020,Education (Department of),Victor Victor Fdtn ; FUNDS PUB SCHL 68  1,Money,"$21,385.00"
2020,Education (Department of),Walentas Foundation ; Walentas ; Fund for Public Schools ; FUNDS PUB SCHL 73  1,Money,"$15,000.00"
2020,Education (Department of),Walkabout Education ; PS 625X - OTPS ; Fund for Public Schools ; FUNDS PUB SCHL 51  1,Money,"$95,000.00"
2020,Education (Department of),Wallace Foundations ; Equity Centered Leadership Pipeline ; Fund for Public Schools ; FUNDS PUB SCHL 26  1,Money,"$19,102.00"
2020,Education (Department of),Wells Fargo ; CTE Industry Scholars ; Fund for Public Schools ; FUNDS PUB SCHL 28  1,Money,"$36,000.00"
2020,Education (Department of),West Village ; PS 3M - OTPS ; Fund for Public Schools ; FUNDS PUB SCHL 350 0,Money,"$33,333.00"
2020,Education (Department of),West Village Residencies ; PS 3M - OTPS ; Fund for Public Schools ; FUNDS PUB SCHL 92  1,Money,"$33,333.00"
2020,Education (Department of),Westchester Country Club Land Assoc. ; PS 71X - OTPS ; Fund for Public Schools ; FUNDS PUB SCHL 72  1,Money,"$30,000.00"
2020,Education (Department of),Windward Fund ; Windward Fund - Halal Food Service ; PRIVATE GRANT  31  1,Money,"$120,505.00"
2020,Education (Department of),XQ Institute ; Imagine NYC ; Fund for Public Schools ; FUNDS PUB SCHL 63  1,Money,"$18,100.00"
2020,Education (Department of),Kerry Danenberg,Money,"$6,000.00"
2020,Education (Department of),Hansang Bae,Money,"$5,000.00"
2020,Education (Department of),PTA,Money,"$6,250.00"
2020,Education (Department of),Big City Volleyball League,Money,"$7,500.00"
2020,Education (Department of),Friends of the High School for Environmental Studies,In-Kind,"$5,000.00"
2020,Education (Department of),Donor (a bank/financial institution) does not want a public announcement of the gift.,In-Kind,"$10,500.00"
2020,Education (Department of),The Gilder Lehrman Institute of American History,Money,"$9,000.00"
2020,Education (Department of),We W.I.L.L. Thru Sports,Money,"$5,000.00"
2020,Education (Department of),Italian American Committee on Education,In-Kind,"$4,500.00"
2020,Education (Department of),Toshiba American Foundation,,"$9,856.00"
2020,Education (Department of),Donors' Choose,In-Kind,"$2,896.00"
2020,Education (Department of),Credit Suisse,Money (Gift Cards),"$5,000.00"
2020,Health and Hospitals Corporation,Deutsche Bank Boerse Traunsanlage Frankfurt Germany,Money,"$10,550.00"
2020,Education (Department of),Partnership With Children; Elite Learners Inc;  Raul Rothblatt; Luria Academy;  PS9 Bklyn PTO; Botchedbyjas;  Seeds In The Middle; and individual members of the  community donated to Coat Drive.,In-Kind,Undetermined
2020,Emergency Management (Office Of),No donations to report,,
2020,Employees' Retirement System,No donations to report,,
2020,Environmental Protection (Department of),ICEX Spain Trade and Investment,Money,"$6,054.99"
2020,Equal Employment Practices Commission,No donations to report,,
2020,Finance (Department of),No donations to report,,
2020,Financial Information Services Agency / Office of Payroll Administration,No donations to report,,
2020,Fire Department,FDNY Foundation,Money and In-Kind,"$4,289,833.00"
2020,Fire Department,MicroGen Diagnostics,In-Kind,"$50,000.00"
2020,Fire Pension Fund,No donations to report,,
2020,Health and Hospitals Corporation,Axis Specialty,Money,"$5,000.00"
2020,Health and Hospitals Corporation,Centerview Partners LLC,Money,"$5,000.00"
2020,Health and Hospitals Corporation,Fidelity Charitable-Twelve Thirteen Ninetyone Fund,Money,"$5,000.00"
2020,Health and Hospitals Corporation,Goldman Sachs Gives-Colin Convey Helper Healers Fund,Money,"$5,000.00"
2020,Health and Hospitals Corporation,Hang Nugyen/12 West Capital,Money,"$5,000.00"
2020,Health and Hospitals Corporation,National Philanthropic/Pollack Charitable Fund,Money,"$5,000.00"
2020,Health and Hospitals Corporation,Philanthropic Trust,Money,"$5,000.00"
2020,Health and Hospitals Corporation,Schwab Charitable-Ann Oh,Money,"$5,000.00"
2020,Health and Hospitals Corporation,Schwab Charitable-Oliver Rosen,Money,"$5,000.00"
2020,Health and Hospitals Corporation,Schwab Foundation-Amy Wolf,Money,"$5,000.00"
2020,Health and Hospitals Corporation,Vanguard Charitable-Frank and Adrienne Dobbs Family FDTN,Money,"$5,000.00"
2020,Health and Hospitals Corporation,Vanguard Charitable-Kaufelt Family Fund,Money,"$5,000.00"
2020,Health and Hospitals Corporation,Weiner Family Future Foundation,Money,"$5,000.00"
2020,Health and Hospitals Corporation,Wells Fargo Bank-Rangers Cottage HQ Trivia,Money,"$5,000.00"
2020,Health and Hospitals Corporation,Wertheim Family Foundation-Harris,Money,"$5,000.00"
2020,Health and Hospitals Corporation,Yuliya Checkmarova - Schwab Charitable,Money,"$5,000.00"
2020,Health and Hospitals Corporation,Gupinder/Dera Sacha Sauda Sirsa,Money,"$5,200.00"
2020,Health and Hospitals Corporation,"Simons Foundation, Inc.",Money,"$5,950.00"
2020,Health and Hospitals Corporation,Lucie Ondraschkova - Schwab Charitable,Money,"$6,000.00"
2020,Health and Hospitals Corporation,Cypress Creek Renewables,Money,"$6,953.35"
2020,Health and Hospitals Corporation,York Capital Management,Money,"$7,000.00"
2020,Health and Hospitals Corporation,Fidelity Charitable-David Blair,Money,"$7,500.00"
2020,Health and Hospitals Corporation,HBO,Money,"$7,500.00"
2020,Health and Hospitals Corporation,Cohen Steers Capital Management,Money,"$8,700.00"
2020,Health and Hospitals Corporation,Wardrobe LLC Bill.com,Money,"$9,900.00"
2020,Health and Hospitals Corporation,Popolare Emilia Rmagna Roma Cares Fondazione (From Italy),Money,"$9,965.00"
2020,Health and Hospitals Corporation,Buddhist Association of the US-Chuang Yen Monastery,Money,"$10,000.00"
2020,Health and Hospitals Corporation,Connect America,Money,"$10,000.00"
2020,Health and Hospitals Corporation,Goldman Sachs Gives-Chris Gallea,Money,"$10,000.00"
2020,Health and Hospitals Corporation,Goldman Sachs Gives-Richard Weitz and Eric Lane,Money,"$10,000.00"
2020,Health and Hospitals Corporation,James & Beatrice Del Favero - Schwab Charitable,Money,"$10,000.00"
2020,Health and Hospitals Corporation,James Pallotta,Money,"$10,000.00"
2020,Health and Hospitals Corporation,Millburn Ridgefield Corp-First Bank,Money,"$10,000.00"
2020,Health and Hospitals Corporation,RAM Family Trust - JP Morgan Charitable Giving Fund,Money,"$10,000.00"
2020,Health and Hospitals Corporation,ROCKPHILADV 1308,Money,"$10,000.00"
2020,Health and Hospitals Corporation,Shen Hai Charity,Money,"$10,000.00"
2020,Health and Hospitals Corporation,The Prince Street FDTN,Money,"$10,000.00"
2020,Health and Hospitals Corporation,Thomas and Jeanne Elmezzi,Money,"$10,000.00"
2020,Health and Hospitals Corporation,US Charitable Gift Trust-Guy and Joyce Gorelik,Money,"$10,000.00"
2020,Health and Hospitals Corporation,Vanguard Charitable-The Positive NRG Fund,Money,"$10,000.00"
2020,Health and Hospitals Corporation,Wilmingtron Trust/Allison Patini Ananda Fund,Money,"$10,000.00"
2020,Health and Hospitals Corporation,HG Capital LLC London UK-RBS International,Money,"$10,089.00"
2020,Health and Hospitals Corporation,Johnson and Johnson,Money,"$10,830.00"
2020,Health and Hospitals Corporation,Goldman Sachs - Donor Requests Anonymity,Money,"$11,500.00"
2020,Health and Hospitals Corporation,12 West Capital Management LP,Money,"$12,000.00"
2020,Health and Hospitals Corporation,Foundation for Long Term Care/MCHF Subgrantee,Money,"$12,000.00"
2020,Health and Hospitals Corporation,Judy and Peter Blum Kovler Foundation,Money,"$12,000.00"
2020,Health and Hospitals Corporation,Hickrill Foundation,Money,"$12,500.00"
2020,Health and Hospitals Corporation,AlixPartners,Money,"$15,000.00"
2020,Health and Hospitals Corporation,Deloitte/Jonathan K.,Money,"$15,000.00"
2020,Health and Hospitals Corporation,Janney Montgomery-Eugene Lang Foundation,Money,"$15,000.00"
2020,Health and Hospitals Corporation,Act Blue Charities,Money,"$16,821.00"
2020,Health and Hospitals Corporation,Snap Inc.,Money,"$17,100.00"
2020,Health and Hospitals Corporation,Communities Foundation of Texas-Pryor Family,Money,"$19,000.00"
2020,Health and Hospitals Corporation,Fidelity Charitable-Nagase Family Fund,Money,"$20,000.00"
2020,Health and Hospitals Corporation,Goldman Sachs GivesMatthew McClure,Money,"$20,000.00"
2020,Health and Hospitals Corporation,MightyCause,Money,"$21,221.63"
2020,Health and Hospitals Corporation,Fidelity Charitable - Unknown,Money,"$21,751.00"
2020,Health and Hospitals Corporation,Go Fund Me,Money,"$23,263.47"
2020,Health and Hospitals Corporation,Branchalternate BNP Paribas,Money,"$23,519.00"
2020,Health and Hospitals Corporation,UnCommon Goods LLC,Money,"$23,925.00"
2020,Health and Hospitals Corporation,LBA Realty Disbursment,Money,"$24,000.00"
2020,Health and Hospitals Corporation,Affirm Cases-California,Money,"$25,000.00"
2020,Health and Hospitals Corporation,Arcesium LLC,Money,"$25,000.00"
2020,Health and Hospitals Corporation,Bendit Family FDTN,Money,"$25,000.00"
2020,Health and Hospitals Corporation,Charina Endowment Fund,Money,"$25,000.00"
2020,Health and Hospitals Corporation,Christopher Cole - Schwab Charitable,Money,"$25,000.00"
2020,Health and Hospitals Corporation,Derivative Path-Silicon Valley Bank,Money,"$25,000.00"
2020,Health and Hospitals Corporation,Jack Sarita Gantz FDTN,Money,"$25,000.00"
2020,Health and Hospitals Corporation,Pegasus Foundation c/0 Wrigley Management Sue Hostetler,Money,"$25,000.00"
2020,Health and Hospitals Corporation,Scott Resnick,Money,"$25,000.00"
2020,Health and Hospitals Corporation,SOS International,Money,"$25,000.00"
2020,Health and Hospitals Corporation,United Hospital Fund,Money,"$25,000.00"
2020,Health and Hospitals Corporation,Marian Goodman,Money,"$26,225.00"
2020,Health and Hospitals Corporation,Goldman Sachs Matching Gift Program -Various Donors,Money,"$27,042.00"
2020,Health and Hospitals Corporation,PerSe Beauty,Money,"$30,000.00"
2020,Health and Hospitals Corporation,Citibank-Rosenthal Family Foundation,Money,"$32,059.00"
2020,Health and Hospitals Corporation,HC WainWright,Money,"$33,138.50"
2020,Health and Hospitals Corporation,AAC,Money,"$33,193.00"
2020,Health and Hospitals Corporation,Engie North America Bank of America,Money,"$35,000.00"
2020,Health and Hospitals Corporation,Jewish Communal Fund/DJL Schachter Fund,Money,"$35,000.00"
2020,Health and Hospitals Corporation,A24FilmsLLC0732,Money,"$35,275.00"
2020,Health and Hospitals Corporation,JP Morgan Charitable-Silverman Family Fund,Money,"$36,000.00"
2020,Health and Hospitals Corporation,Benevity Community Impact Fund,Money,"$37,347.00"
2020,Health and Hospitals Corporation,AIC,Money,"$38,000.00"
2020,Health and Hospitals Corporation,AMJ Jewish Committee-Grace Meng,Money,"$40,000.00"
2020,Health and Hospitals Corporation,Thea Ulrich-Lewis,Money,"$40,000.00"
2020,Health and Hospitals Corporation,The Giving Back Fund-Bcapital Group Los Angeles,Money,"$41,000.00"
2020,Health and Hospitals Corporation,Ardea Partners LP,Money,"$44,500.00"
2020,Health and Hospitals Corporation,Bank of America-Ken & Mueller Fund,Money,"$50,000.00"
2020,Health and Hospitals Corporation,David Geffen FDTN,Money,"$50,000.00"
2020,Health and Hospitals Corporation,DentaQuest,Money,"$50,000.00"
2020,Health and Hospitals Corporation,Eisai USA Foundation,Money,"$50,000.00"
2020,Health and Hospitals Corporation,Fidelity Charitable Lisa Su,Money,"$50,000.00"
2020,Health and Hospitals Corporation,George Link FDTN,Money,"$50,000.00"
2020,Health and Hospitals Corporation,JP Morgan Charitable Giving Fund / Wanderlust Fund,Money,"$50,000.00"
2020,Health and Hospitals Corporation,JPMCB Private Bank-D. Chaloux Lowenstein FDTN,Money,"$50,000.00"
2020,Health and Hospitals Corporation,Robert Doorenbos,Money,"$50,000.00"
2020,Health and Hospitals Corporation,Chase-Hope for New York,Money,"$51,497.46"
2020,Health and Hospitals Corporation,Theresa Edward O'Toole Foundation,Money,"$60,000.00"
2020,Health and Hospitals Corporation,Yves Saint Laurent,Money,"$62,500.00"
2020,Health and Hospitals Corporation,Balyasny Asset Management,Money,"$67,000.00"
2020,Health and Hospitals Corporation,Blanche F. Ittleson FDTN/Bessemer Trust Co.,Money,"$100,000.00"
2020,Health and Hospitals Corporation,Continental Stock Transfers and Trust,Money,"$100,000.00"
2020,Health and Hospitals Corporation,Edelman NYC,Money,"$100,000.00"
2020,Health and Hospitals Corporation,"Fidelity Charitable/Support for Doctors, Nurses and Other Healht Care Workers Treating COVID 19",Money,"$100,000.00"
2020,Health and Hospitals Corporation,Fishman Family Foundation,Money,"$100,000.00"
2020,Health and Hospitals Corporation,Humanitarian Initiative,Money,"$100,000.00"
2020,Health and Hospitals Corporation,Jefferies LLC-Memory of Peg Roadbent,Money,"$100,000.00"
2020,Health and Hospitals Corporation,JP Morgan Charitable Giving Funds-Iterative Fund,Money,"$100,000.00"
2020,Health and Hospitals Corporation,Mary W. Harriman Foundation,Money,"$100,000.00"
2020,Health and Hospitals Corporation,Ryan Reynolds Trust,Money,"$100,000.00"
2020,Health and Hospitals Corporation,A to Z Impact Foundation,Money,"$108,000.00"
2020,Health and Hospitals Corporation,Warburg Pincus Foundation,Money,"$116,400.00"
2020,Health and Hospitals Corporation,Bessemer Trust Erie FDTN and Roche-Wilmers,Money,"$125,000.00"
2020,Health and Hospitals Corporation,PayPal,Money,"$139,307.09"
2020,Health and Hospitals Corporation,Aronson Family Foundation,Money,"$150,000.00"
2020,Health and Hospitals Corporation,Benevity Fund,Money,"$163,536.00"
2020,Health and Hospitals Corporation,Chanel,Money,"$175,000.00"
2020,Health and Hospitals Corporation,Fidelity,Money,"$190,000.00"
2020,Health and Hospitals Corporation,Fidelity Charitable-UGG Brand-Michelle Apodaca Deckers,Money,"$200,000.00"
2020,Health and Hospitals Corporation,Laura Staich,Money,"$250,000.00"
2020,Health and Hospitals Corporation,Philip Ruedi & Laura Staich,Money,"$250,000.00"
2020,Health and Hospitals Corporation,Fidelity Investment,Money,"$296,737.00"
2020,Health and Hospitals Corporation,HealthCorp,Money,"$300,000.00"
2020,Health and Hospitals Corporation,Advent International (AIC),Money,"$307,346.00"
2020,Health and Hospitals Corporation,Robin Hood Foundations,Money,"$365,000.00"
2020,Health and Hospitals Corporation,Roots and Wings,Money,"$375,000.00"
2020,Health and Hospitals Corporation,BNP Paribas,Money,"$400,000.00"
2020,Health and Hospitals Corporation,Mayor Fund,Money,"$400,000.00"
2020,Health and Hospitals Corporation,Goldman Sachs - GS Gives,Money,"$500,000.00"
2020,Health and Hospitals Corporation,Withheld pursuant to COIB Rules Section 1-14(d),Money,"$500,000.00"
2020,Health and Hospitals Corporation,Laurie M. Tisch Illumination Fund,Money,"$500,000.00"
2020,Health and Hospitals Corporation,GNYHA,Money,"$1,099,574.00"
2020,Health and Hospitals Corporation,GNYHA - Foundation,Money,"$1,076,413.00"
2020,Health and Hospitals Corporation,BlackRock Donor Advisement Fund,Money,"$1,000,000.00"
2020,Health and Hospitals Corporation,Withheld pursuant to COIB Rules Section 1-14(d),Money,"$1,000,000.00"
2020,Health and Hospitals Corporation,The Marsh Group INC,Money,"$1,380,000.00"
2020,Health and Hospitals Corporation,Withheld pursuant to COIB Rules Section 1-14(d),Money,"$1,500,000.00"
2020,Health and Hospitals Corporation,Withheld pursuant to COIB Rules Section 1-14(d),Money,"$2,000,000.00"
2020,Health and Hospitals Corporation,Network for Good,Money,"$2,144,945.00"
2020,Health and Hospitals Corporation,Jack Rubin Family Foundation,Money,"$2,400,000.00"
2020,Health and Hospitals Corporation,Greater New York Hospital Association,Money,"$5,000,000.00"
2020,Health and Hospitals Corporation,Andrew Schwartzberg,Money,"$5,000.00"
2020,Health and Hospitals Corporation,Ari Selman,Money,"$5,000.00"
2020,Health and Hospitals Corporation,Bill Smith,Money,"$5,000.00"
2020,Health and Hospitals Corporation,Bo Nielsen,Money,"$5,000.00"
2020,Health and Hospitals Corporation,Carla Javits,Money,"$5,000.00"
2020,Health and Hospitals Corporation,Celene Menschel,Money,"$5,000.00"
2020,Health and Hospitals Corporation,CHARLES C CAHN JR,Money,"$5,000.00"
2020,Health and Hospitals Corporation,Chase Koch,Money,"$5,000.00"
2020,Health and Hospitals Corporation,Gladys  Cofrin,Money,"$5,000.00"
2020,Health and Hospitals Corporation,Jean Renfield-Miller,Money,"$5,000.00"
2020,Health and Hospitals Corporation,Jeffrey Seller,Money,"$5,000.00"
2020,Health and Hospitals Corporation,Jessica  Ledon,Money,"$5,000.00"
2020,Health and Hospitals Corporation,KATHIE RONES,Money,"$5,000.00"
2020,Health and Hospitals Corporation,Kirith Prady,Money,"$5,000.00"
2020,Health and Hospitals Corporation,M D PIPLICA,Money,"$5,000.00"
2020,Health and Hospitals Corporation,Marc Levy,Money,"$5,000.00"
2020,Health and Hospitals Corporation,Mark Rothe,Money,"$5,000.00"
2020,Health and Hospitals Corporation,Max Mutchnick,Money,"$5,000.00"
2020,Health and Hospitals Corporation,Michael B Stubbs,Money,"$5,000.00"
2020,Health and Hospitals Corporation,Nicole Jebson,Money,"$5,000.00"
2020,Health and Hospitals Corporation,Ralph C Johnson,Money,"$5,000.00"
2020,Health and Hospitals Corporation,REVELLE LABARBERA,Money,"$5,000.00"
2020,Health and Hospitals Corporation,Ronert Greenblatt,Money,"$5,000.00"
2020,Health and Hospitals Corporation,"Russell, Karen, and Annie Goldsmith",Money,"$5,000.00"
2020,Health and Hospitals Corporation,Scott Silveri,Money,"$5,000.00"
2020,Health and Hospitals Corporation,Simon J  Moran,Money,"$5,000.00"
2020,Health and Hospitals Corporation,Teresa Melhado,Money,"$5,000.00"
2020,Health and Hospitals Corporation,William Stokvis,Money,"$5,000.00"
2020,Health and Hospitals Corporation,Emily C Brill,Money,"$5,050.30"
2020,Health and Hospitals Corporation,Hannah Ryan,Money,"$5,373.80"
2020,Health and Hospitals Corporation,Michael Weiner,Money,"$5,386.65"
2020,Health and Hospitals Corporation,JEFF LOOTS,Money,"$6,457.00"
2020,Health and Hospitals Corporation,"Flying Saucer Press, Inc.",Money,"$7,441.48"
2020,Health and Hospitals Corporation,Leo Kirchner,Money,"$7,450.00"
2020,Health and Hospitals Corporation,Jing Ge,Money,"$7,500.00"
2020,Health and Hospitals Corporation,Julie Plec,Money,"$7,500.00"
2020,Health and Hospitals Corporation,Clara OBrien,Money,"$8,700.00"
2020,Health and Hospitals Corporation,Muhammad Alam,Money,"$8,730.00"
2020,Health and Hospitals Corporation,Reese Hopper,Money,"$9,021.00"
2020,Health and Hospitals Corporation,Barbara Broccoli,Money,"$9,700.00"
2020,Health and Hospitals Corporation,Bonnie Sladowsky,Money,"$9,700.00"
2020,Health and Hospitals Corporation,Dharani Jasthi,Money,"$9,700.00"
2020,Health and Hospitals Corporation,Drew Figdor,Money,"$9,700.00"
2020,Health and Hospitals Corporation,Jeffrey Kronthal,Money,"$9,700.00"
2020,Health and Hospitals Corporation,Jeremy Stoller,Money,"$9,700.00"
2020,Health and Hospitals Corporation,Rachel Tipograph,Money,"$9,700.00"
2020,Health and Hospitals Corporation,Tang Tang,Money,"$9,700.00"
2020,Health and Hospitals Corporation,Wilson Tran,Money,"$9,700.00"
2020,Health and Hospitals Corporation,Mary Mayo,Money,"$9,850.00"
2020,Health and Hospitals Corporation,Alexis Lequoc,Money,"$10,000.00"
2020,Health and Hospitals Corporation,Bing Han,Money,"$10,000.00"
2020,Health and Hospitals Corporation,Dino DiFronzo,Money,"$10,000.00"
2020,Health and Hospitals Corporation,Donna Croke,Money,"$10,000.00"
2020,Health and Hospitals Corporation,Ilse Melamid,Money,"$10,000.00"
2020,Health and Hospitals Corporation,Jen Lewis,Money,"$10,000.00"
2020,Health and Hospitals Corporation,Olivier Pomel,Money,"$10,000.00"
2020,Health and Hospitals Corporation,Peter Cooke,Money,"$10,000.00"
2020,Health and Hospitals Corporation,Rich Caputo,Money,"$10,000.00"
2020,Health and Hospitals Corporation,Tim C Xin,Money,"$10,000.00"
2020,Health and Hospitals Corporation,Peter Carbonara Jr.,Money,"$10,800.00"
2020,Health and Hospitals Corporation,Marco Tonazzi,Money,"$10,843.00"
2020,Health and Hospitals Corporation,Julie Brandenburg,Money,"$12,125.00"
2020,Health and Hospitals Corporation,Kevin Schultz,Money,"$14,550.00"
2020,Health and Hospitals Corporation,CDR - Theresa A. Gore,Money,"$17,460.00"
2020,Health and Hospitals Corporation,Jennifer Zuccarini,Money,"$18,009.99"
2020,Health and Hospitals Corporation,William Crayon,Money,"$19,400.00"
2020,Health and Hospitals Corporation,Iris  Smith,Money,"$20,000.00"
2020,Health and Hospitals Corporation,Megan Schrecengost,Money,"$20,000.00"
2020,Health and Hospitals Corporation,Elizabeth Strickler,Money,"$24,250.00"
2020,Health and Hospitals Corporation,Simons Foundation,Money,"$24,250.00"
2020,Health and Hospitals Corporation,Paul and Donna Ullman,Money,"$25,000.00"
2020,Health and Hospitals Corporation,Gratifood,In-Kind,"$5,000.00"
2020,Health and Hospitals Corporation,Harrys Italian,In-Kind,"$5,000.00"
2020,Health and Hospitals Corporation,Henry Schein and the American Dental Association,In-Kind,"$5,000.00"
2020,Health and Hospitals Corporation,Tunnels to Towers,In-Kind,"$5,000.00"
2020,Health and Hospitals Corporation,Melba's Restaurant,In-Kind,"$5,260.00"
2020,Health and Hospitals Corporation,Sights on Health,In-Kind,"$5,472.00"
2020,Health and Hospitals Corporation,Hero Meals,In-Kind,"$5,600.00"
2020,Health and Hospitals Corporation,e-Cycle,In-Kind,"$5,677.00"
2020,Health and Hospitals Corporation,Universal Content Productions (Film Industry Feeds the Front Lines),In-Kind,"$6,000.00"
2020,Health and Hospitals Corporation,Jonathan Ledoux,In-Kind,"$6,162.00"
2020,Health and Hospitals Corporation,Citibike,In-Kind,"$6,400.00"
2020,Health and Hospitals Corporation,Harrys Razors,In-Kind,"$6,540.00"
2020,Health and Hospitals Corporation,Illy,In-Kind,"$6,700.00"
